FECHA;CUENTA;CONCEPTO;IMPORTE;DESCRIPCIÓN
05/02/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
05/02/2025;"Tarjeta";TRASPASO;-500,00;"TRASPASO"
05/02/2025;"Revolut";TRASPASO;500,00;"TRASPASO"
06/02/2025;"Santander";"Traspaso";-270,00;"ALMUERZO"
06/02/2025;"Myinvestor";"Traspaso";270,00;"TRASPASO"
06/02/2025;"Myinvestor";TRASPASO;-70,00;"TRASPASO"
06/02/2025;"MyinvestorPensión";TRASPASO;70,00;"TRASPASO"
06/02/2025;"Ing";TRASPASO;-300,00;"TRASPASO"
06/02/2025;"Naranja";TRASPASO;300,00;"TRASPASO"
06/02/2025;"Sabadell";TRASPASO;-400,00;"TRASPASO"
06/02/2025;"Ing";TRASPASO;400,00;"TRASPASO"
07/02/2025;"Ing";TRASPASO;-50,00;"TRASPASO"
07/02/2025;"Naranja";TRASPASO;50,00;"TRASPASO"
07/02/2025;"Naranja";TRASPASO;-15000,00;"TRASPASO"
07/02/2025;"Myinvestor";TRASPASO;15000,00;"TRASPASO"
07/02/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
07/02/2025;"Ing";"Variosvivienda";-14,70;"TOSTADORA"
07/02/2025;"Naranja";"Otros gastos";-24,00;"COMISIONES LETRAS"
07/02/2025;"Santander";"Medicamentos";-2,86;"TEVETENS, AFLOYAN Y BESITRANS"
07/02/2025;"Santander";"Deporte";-8,00;"PÁDEL"
07/02/2025;"Letras";TRASPASO;-16000,00;"TRASPASO"
07/02/2025;"Naranja";TRASPASO;16000,00;"TRASPASO"
08/02/2025;"Tarjeta";TRASPASO;-500,00;"TRASPASO"
08/02/2025;"TradeRepublic";TRASPASO;500,00;"TRASPASO"
08/02/2025;"Santander";"Comida";-20,05;"EL RECHUPETE"
09/02/2025;"Santander";"Ocio";-37,00;"COMIDA MÁLAGA"
09/02/2025;"Santander";"Ocio";-33,05;"TAXI SAB A AVE"
09/02/2025;"Sabadell";"Variosvivienda";-11,20;"MANGUERA Y CARTERA"
09/02/2025;"Santander";"Ocio";-12,50;"CENA MÁLAGA"
09/02/2025;"Sabadell";TRASPASO;-20,00;"TRASPASO"
09/02/2025;"Bit2me";TRASPASO;20,00;"TRASPASO"
10/02/2025;"Sabadell";TRASPASO;-396,04;"TRASPASO"
10/02/2025;"Myinvestor";TRASPASO;396,04;"TRASPASO"
10/02/2025;"Myinvestor";TRASPASO;-108,30;"TRASPASO"
10/02/2025;"MyinvestorFondo";TRASPASO;108,30;"TRASPASO"
10/02/2025;"Myinvestor";TRASPASO;-111,59;"TRASPASO"
10/02/2025;"MyinvestorFondo";TRASPASO;111,59;"TRASPASO"
10/02/2025;"Santander";TRASPASO;-50,00;"TRASPASO"
10/02/2025;"Efectivo";TRASPASO;50,00;"TRASPASO"
10/02/2025;"Myinvestor";TRASPASO;-139,21;"TRASPASO"
10/02/2025;"MyinvestorFondo";TRASPASO;139,21;"TRASPASO"
10/02/2025;"Myinvestor";TRASPASO;-65,02;"TRASPASO"
10/02/2025;"MyinvestorFondo";TRASPASO;65,02;"TRASPASO"
10/02/2025;"Sabadell";TRASPASO;-10,00;"TRASPASO"
10/02/2025;"Bit2me";TRASPASO;10,00;"TRASPASO"
10/02/2025;"Myinvestor";TRASPASO;-107,67;"TRASPASO"
10/02/2025;"MyinvestorFondo";TRASPASO;107,67;"TRASPASO"
10/02/2025;"Efectivo";"Ocio";-22,90;"MÁLAGA A RONDA"
10/02/2025;"Santander";"Ocio";-9,20;"CENA MÁLAGA"
11/02/2025;"Myinvestor";"Intereses";16,20;"BONIFICACIÓN"
11/02/2025;"Santander";"Ocio";-9,00;"DESAYUNO MÁLAGA"
11/02/2025;"Efectivo";"Ocio";-2,10;"IMÁN"
11/02/2025;"Myinvestor";TRASPASO;-280,45;"TRASPASO"
11/02/2025;"MyinvestorFondo";TRASPASO;280,45;"TRASPASO"
11/02/2025;"Sabadell";TRASPASO;-200,00;"TRASPASO"
11/02/2025;"Myinvestor";TRASPASO;200,00;"TRASPASO"
11/02/2025;"Revolut";TRASPASO;-1500,00;"TRASPASO"
11/02/2025;"Bit2me";TRASPASO;1500,00;"TRASPASO"
12/02/2025;"InteractiveBrokers";TRASPASO;-9,71;"TRASPASO"
12/02/2025;"TradeRepublic";TRASPASO;9,71;"TRASPASO"
12/02/2025;"Santander";"Ocio";-26,50;"CENA SANTANDER"
12/02/2025;"Santander";"Gas";-21,76;"GAS"
13/02/2025;"TradeRepublic";TRASPASO;-200,14;"TRASPASO"
13/02/2025;"Ing";TRASPASO;200,14;"TRASPASO"
13/02/2025;"Naranja";TRASPASO;-1000,00;"TRASPASO"
13/02/2025;"Degiro";TRASPASO;1000,00;"TRASPASO"
