id,fecha,descripcion,cantidad,tipo,cuenta,concepto,cuenta_origen,cuenta_destino
id_1751070982012_62roj9m8r,2025-01-09,MEDICAMENTOS,"-2,86",movimiento,D-Santander,Medicamentos,,
id_1751070982012_t2u0ur93w,2025-01-09,Rev Kadjar cambio filtros,"-383,05",movimiento,N-Tarjeta,Rev/Itv,,
id_1751070982012_3roibsx03,2025-01-09,Gasóleo,"-51,65",movimiento,N-Tarjeta,Combustible,,
id_1751070982012_gz3h6x1mn,2025-01-10,Taronges Gilet,"-6,00",movimiento,N-Efectivo,Comida,,
id_1751070982012_y5jacz13j,2025-01-10,Chaq Columbia Amazon,"119,19",movimiento,N-Naranja,Vestir,,
id_1751070982012_xnyl1b0np,2025-01-12,Alta Gym Aspresso,"-28,00",movimiento,N-Tarjeta,Deporte,,
id_1751070982012_ho8024qxf,2025-01-09,DEPORTE,"-7,50",movimiento,D-Santander,Deporte,,
id_1751070982012_tchaxtvlo,2025-01-11,DEPORTE,"-14,00",movimiento,D-Santander,Deporte,,
id_1751070982012_8e99xpgsg,2025-01-11,OTROS GASTOS,"-39,26",movimiento,D-Sabadell,Otros gastos,,
id_1751070982012_v8ov17qmn,2025-01-11,MERCADONA,"-15,62",movimiento,D-Santander,Comida,,
id_1751070982012_v8sy7dgsw,2025-01-13,ALMUERZO,"-1,30",movimiento,D-Santander,Ocio,,
id_1751070982012_85q6smg37,2025-01-13,PÁDEL,"-7,50",movimiento,D-Santander,Deporte,,
id_1751070982012_rf9u5m5nj,2025-01-13,MERCADONA,"-61,17",movimiento,D-Santander,Comida,,
id_1751070982012_m9ofptr2r,2025-01-14,ALMUERZO,"-1,30",movimiento,D-Santander,Ocio,,
id_1751070982012_5m7g9mqyo,2025-01-14,Ocaso seguro,"-10,48",movimiento,N-Santander,Otros gastos,,
id_1751070982012_mdmc886gz,2025-01-14,Lowi,"-35,10",movimiento,N-Santander,Móvil,,
id_1751070982012_ijl4vksbi,2025-01-14,Funda coixí mercat,"-3,00",movimiento,N-Efectivo,Variosvivienda,,
id_1751070982012_67uyuzsw0,2025-01-14,Esmorzar,"-1,40",movimiento,N-Efectivo,Comida,,
id_1751070982012_om939ehpq,2025-01-14,GASOLINA,"-70,01",movimiento,D-Santander,Combustible,,
id_1751070982012_gjo3hzckr,2025-01-14,INTERESES,"6,89",movimiento,D-Sabadell,Intereses,,
id_1751070982012_t8cgnsre5,2025-01-14,Intereses,"53,68",movimiento,N-Sabadell,Intereses,,
id_1751070982012_ganhhf6da,2025-01-15,ALMUERZO,"-3,50",movimiento,D-Santander,Ocio,,
id_1751070982012_mivlwlc0s,2025-01-15,TRASPASO,"376,56",traspaso,,,D-Sabadell,D-Santander
id_1751070982012_bf7k6guvs,2025-01-15,TRASPASO,"15000,00",traspaso,,,D-TradeRepublic,D-Freedom24
id_1751070982012_frtuwvp2t,2025-01-15,Consulta Psico Empar,"-80,00",movimiento,N-Efectivo,Medicamentos,,
id_1751070982012_tzwgihrms,2025-01-16,TRASPASO,"2000,00",traspaso,,,D-TradeRepublic,D-InteractiveBrokers
id_1751070982012_od6q0jp71,2025-01-16,Esmorzar,"-2,50",movimiento,N-Efectivo,Comida,,
id_1751070982012_tysi1a772,2025-01-16,TRASPASO,"1000,30",traspaso,,,D-TradeRepublic,D-TradeRepublicFondo
id_1751070982012_6gzmu2kz7,2025-01-16,ALMUERZO,"-1,30",movimiento,D-Santander,Ocio,,
id_1751070982012_x15on1bny,2025-01-16,LUZ,"-16,36",movimiento,D-Santander,Luz,,
id_1751070982012_gohlxid3x,2025-01-16,Esmorzar,"-5,70",movimiento,N-Efectivo,Comida,,
id_1751070982012_74rjpviej,2025-01-16,TRASPASO,"1000,00",traspaso,,,D-TradeRepublic,D-Sabadell
id_1751070982012_86dbzke2k,2025-01-16,TRASPASO,"1000,00",traspaso,,,D-Sabadell,D-Revolut
id_1751070982012_jzt0grwny,2025-01-16,BONO PÁDEL,"-50,00",movimiento,D-Santander,Deporte,,
id_1751070982012_t9rv0ccx4,2025-01-17,ALMUERZO,"-1,30",movimiento,D-Santander,Ocio,,
id_1751070982012_0rp5cxkm2,2025-01-17,Entrades Palau,"-30,00",movimiento,N-Naranja,Ocio,,
id_1751070982012_lqsj3bxgo,2025-01-17,Botines Wallapop,"23,00",movimiento,N-Naranja,Otros ingresos,,
